column_name,column_description
Id,the post id
PostTypeId,the id of the post type
AcceptedAnswerId,the accepted answer id of the post
CreaionDate,the creation date of the post
Score,the score of the post
ViewCount,the view count of the post
Body,the body of the post
OwnerUserId,the id of the owner user
LasActivityDate,the last activity date
Title,the title of the post
Tags,the tag of the post
AnswerCount,the total number of answers of the post
CommentCount,the total number of comments of the post
FavoriteCount,the total number of favorites of the post
LastEditorUserId,the id of the last editor
LastEditDate,the last edit date
CommunityOwnedDate,the community owned date
ParentId,the id of the parent post
ClosedDate,the closed date of the post
OwnerDisplayName,the display name of the post owner
LastEditorDisplayName,the display name of the last editor
